Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Bighorn Sheep,13,Artiodactyla,Bovidae,0.0,17000.0,12.5,88.5,2,0,0,0,0,1,1,0,0,0,0
Bilby,13,Peramelemorphia,Thylacomyidae,1.0,41.9735,10.0,1.5444838566283534,4,0,0,0,0,0,0,0,1,1,0
Binturong,13,Carnivora,Viverridae,1.0,7800.0,17.5,12.0,4,1,0,0,0,0,0,0,0,0,0
Bird Of Paradise,4,Passeriformes,Paradisaeidae,0.0,1114.242495994122,6.5,8.465608465608465,4,1,0,0,0,0,0,0,1,1,0
Bismarck Ringed Python,16,Squamata,Pythonidae,0.0,152.4,20.0,1601.274827419837,4,1,1,1,1,1,1,1,1,1,1
Bison,13,Artiodactyla,Bovidae,0.0,235.0,17.5,0.5,2,0,0,0,0,1,0,0,0,0,0
Black and White Warbler,4,Passeriformes,Parulidae,0.0,11.938,19.474841669993218,0.0141747462720417,3,0,1,0,1,1,1,0,0,0,0
Black Mamba,16,Squamata,Elapidae,0.0,775.0,11.0,1601.274827419837,0,0,0,1,0,0,0,0,0,0,0
Black Pastel Ball Python,16,Squamata,Pythonidae,0.0,121.92,25.0,1601.274827419837,0,0,0,1,0,0,0,0,0,0,0
Black Rat Snake,16,Squamata,Colubridae,0.0,175.26,19.474841669993218,1601.274827419837,0,0,0,0,0,1,0,0,0,0,0
Black Rhinoceros,13,Perissodactyla,Rhinocerotidae,1.0,345.0,47.5,400.5,2,0,0,1,0,0,0,0,0,0,0
Black Throat Monitor,16,Squamata,Varanidae,0.0,1114.242495994122,25.0,27.215574566138383,0,0,0,1,0,0,0,0,0,0,0
Black Wasp,11,Hymenoptera,Sphecidae,0.0,2750.0,19.474841669993218,1601.274827419837,4,0,0,0,0,1,0,0,0,0,0
Black Widow Spider,3,Araneae,Theridiidae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,0,1,1,1,1,1,1,0,1,1,1
Black-Bellied Whistling Duck,4,Anseriformes,Anatidae,0.0,38.1,10.0,0.8391468824559335,4,0,0,0,1,1,0,0,0,0,0
Black-Capped Chickadee,4,Passeriformes,Paridae,0.0,13.0175,7.25,0.01020581731587,4,0,0,0,0,1,0,0,0,0,0
Black-Footed Ferret,13,Carnivora,Mustelidae,1.0,53.34,4.0,0.9090909090909092,0,0,0,0,0,1,0,0,0,0,0
Blacknose Shark,8,Carcharhiniformes,Carcharhinidae,1.0,106.68,17.75,1601.274827419837,0,0,0,0,0,0,1,0,0,1,0
Blackpoll Warbler,4,Passeriformes,Parulidae,0.0,13.97,4.5,0.0127572716448375,4,0,1,0,0,1,0,0,0,0,0
Blacktip Reef Shark,8,Carcharhiniformes,Carcharhinidae,1.0,182.88,20.0,1601.274827419837,4,0,0,0,0,0,0,0,1,1,0
Bladefin Basslet,0,Perciformes,Serranidae,0.0,5.842,19.474841669993218,1601.274827419837,0,0,0,0,0,0,0,0,0,1,0
Blanket Octopus,7,Octopoda,Tremoctopodidae,0.0,11.43,2.75,3.636363636363636,0,0,0,0,0,0,0,0,0,1,0
Blind Snake,16,Squamata,Typhlopidae,0.0,2200.0,19.474841669993218,1601.274827419837,0,1,0,1,1,1,1,0,1,1,0
Blister Beetle,11,Coleoptera,Meloidae,0.0,175.0,0.1666666666666666,1601.274827419837,4,0,0,0,0,1,0,0,0,0,0
Blobfish,0,Scorpaeniformes,Psychrolutidae,1.0,5080.0,19.474841669993218,14.5,4,0,0,0,0,0,0,0,0,1,0
Blood Python,16,Squamata,Pythonidae,0.0,650.0,25.0,13.607787283069191,0,1,0,0,0,0,0,0,0,0,0
Blue Belly Lizard,16,Squamata,Phyrnosomatidae,0.0,16.002000000000002,6.0,0.0283494925440834,0,0,0,0,0,1,1,0,0,0,0
Blue Catfish,0,Siluriformes,Ictaluridae,0.0,113.03,17.0,39.77272727272727,4,0,0,0,0,1,1,0,0,0,0
Blue Eyed Pleco,0,Siluriformes,Loricaridae,0.0,3000.0,15.0,1601.274827419837,4,0,0,0,1,0,0,0,0,0,0
Blue Gray Gnatcatcher,4,Passeriformes,Polioptilidae,0.0,11.43,19.474841669993218,0.0074074074074074,3,0,0,0,0,1,1,0,0,0,0
Blue grosbeak,4,Passeriforme,Cardinalidae,0.0,16.51,19.474841669993218,0.0287747349322447,4,0,0,0,0,1,1,0,0,0,0
Blue Iguana,16,Squamata,Iguanidae,1.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,0,1,0,0,0,0
Blue Jay,4,Passeriformes,Corvidae,0.0,26.67,7.0,0.109347442680776,4,0,0,0,0,1,0,0,0,0,0
Blue Racer,16,Squamata,Colubridae,0.0,1114.242495994122,19.474841669993218,1601.274827419837,4,0,0,0,0,1,0,0,0,0,0
Blue Shark,8,Carcharhiniformes,Carcharhinidae,0.0,335.28000000000003,15.0,41.0501583039254,0,0,0,0,0,0,0,0,0,1,0
