Animal Name,Class,Order,Family,Is_Endangered,Length(cm),Lifespan(years),Weight(kg),Diet,Asia,Europe,Africa,South-America,North-America,Central-America,Antarctica,Oceania,Ocean,Eurasia
Elegant Tern,Aves,Charadriiformes,Laridae,0.0,40.64,21.0,0.3350970017636684,Carnivore,0,0,0,1,1,1,0,0,0,0
Elephant,Mammalia,Proboscidea,Elephantidae,0.0,,62.5,1.5,Herbivore,1,0,1,0,0,0,0,0,0,0
Elephant Beetle,Insecta,Coleoptera,Scarabaeidae,0.0,24.13,3.0,100000.0,Herbivore,0,0,0,1,1,1,0,0,0,0
Elephant Bird,Aves,Aepyornithiformes,Aepyornithidae,,,,136.30466928540974,Herbivore,0,0,1,0,0,0,0,0,0,0
Elephant Fish,Chondrichthyes,Holocephali,Chimaeriformes,0.0,,,,Carnivore,0,0,0,0,0,0,0,1,1,0
Elephant Seal,Mammalia,Carnivora,Phocidae,0.0,400.0,20.0,451.5,Carnivore,0,0,0,0,0,0,0,0,1,0
Elephant Shrew,Mammalia,Macroscelidea,Macroscelididae,0.0,2000.0,3.5,9.700176366843033,Omnivore,0,0,1,0,0,0,0,0,0,0
Elf Owl,Aves,Strigiformes,Strigidae,0.0,13.462000000000002,10.0,0.03968928956171684,Carnivore,0,0,0,0,1,0,0,0,0,0
Elk,Mammalia,Artiodactyla,Cervidae,0.0,215.00000000000003,12.5,385.5,Omnivore,1,0,0,0,1,0,0,0,0,1
Ember Tetra,Actinopterygii,Characiformes,Characidae,,,3.0,,Omnivore,0,0,0,1,0,0,0,0,0,0
Embolotherium,Mammalia,Perissodactyla,Brontoteriidae,1.0,487.68,,1995.8088015168148,Herbivore,1,0,0,0,0,0,0,0,0,0
Emerald Toucanet,Aves,Piciformes,Ramphastidae,0.0,33.02,13.0,0.1743493791461133,Omnivore,0,0,0,0,1,1,0,0,0,0
Emerald Tree Boa,Reptilia,Squamata,Boidae,0.0,12.7,17.5,0.6803893641534596,,0,0,0,1,0,0,0,0,0,0
Emerald Tree Monitor,Reptilia,Squamata,Varanidae,0.0,,12.5,0.3118444179849181,Carnivore,1,0,0,0,0,0,0,1,1,0
Emperor Angelfish,Actinopterygii,Perciformes,Pomacanthidae,0.0,,,,Omnivore,0,0,0,0,0,0,0,0,1,0
Emperor Goose,Aves,Anseriformes,Anatidae,0.0,67.31,9.0,2.4947610018960185,Omnivore,1,0,0,0,1,0,0,0,0,1
Emperor Penguin,Aves,Sphenisciformes,Spheniscidae,0.0,,32.5,33.5,Carnivore,0,0,0,0,0,0,1,0,1,0
Emperor Tamarin,Mammalia,Primates,Callitrichidae,0.0,2400.0,11.5,19.753086419753085,Omnivore,0,0,0,1,0,0,0,0,0,0
Emu,Aves,Casuariiformes,Casuariidae,0.0,,16.0,39.0,Omnivore,0,0,0,0,0,0,0,1,1,0
Enchi Ball Python,Reptilia,Squamata,Pythonidae,0.0,167.64000000000001,25.0,,Carnivore,0,0,1,0,0,0,0,0,0,0
English Bulldog,Mammalia,Carnivora,Canidae,,,9.0,23.636363636363633,Omnivore,0,1,0,0,0,0,0,0,0,0
English Cocker Spaniel,Mammalia,Carnivora,Canidae,,,15.0,24.5,Omnivore,0,1,0,0,0,0,0,0,0,0
English Cream Golden Retriever,Mammalia,Carnivora,Canidae,,,11.0,34.090909090909086,Omnivore,0,1,0,0,0,0,0,0,0,0
English Crested Guinea Pig,Mammalia,Rodentia,Caviidae,0.0,,6.0,,Herbivore,0,1,0,0,1,0,0,0,0,0
English Foxhound,Mammalia,Carnivora,Canidae,,,11.5,34.01946820767298,Omnivore,0,1,0,0,0,0,0,0,0,0
English Longhorn Cattle,Mammalia,Artiodactyla,Bovidae,0.0,,20.0,704.5454545454545,Herbivore,0,1,0,0,1,0,0,1,1,0
English Pointer,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,1,0,0,0,0,0,0,0,0
English Setter,Mammalia,Carnivora,Canidae,,,13.0,36.28743275485118,Omnivore,0,1,0,0,0,0,0,0,0,0
English Shepherd,Mammalia,Carnivora,Canidae,,,14.0,43.5,Omnivore,0,0,0,0,1,0,0,0,0,0
English Springer Spaniel,Mammalia,Carnivora,Canidae,,,12.0,40.0,Omnivore,0,1,0,0,0,0,0,0,0,0
English Toy Terrier,Mammalia,Carnivora,Canidae,,,,,Omnivore,1,1,1,1,1,1,1,1,1,1
Entlebucher Mountain Dog,Mammalia,Carnivora,Canidae,,,12.0,47.5,Omnivore,0,1,0,0,0,0,0,0,0,0
Epagneul Pont Audemer,Mammalia,Carnivora,Canidae,,,13.0,38.5,Omnivore,0,1,0,0,0,0,0,0,0,0
Epicyon haydeni,Mammalia,Carnivora,Canidae,1.0,243.84,,118.18181818181817,Omnivore,0,0,0,0,1,0,0,0,0,0
Epidexipteryx,,,Scansoriopterygidae,1.0,24.892000000000003,,0.19277698651014688,Carnivore,1,0,0,0,0,0,0,0,0,0
Equatorial Spitting Cobra,Reptilia,Squamata,Elapidae,0.0,,,,Carnivore,1,0,0,0,0,0,0,0,0,0
Equus giganteus,Mammalia, Perissodactyla,Equidae,1.0,,,1340.9090909090908,Herbivore,0,0,0,0,1,0,0,0,0,0
Ermine,Mammalia,Carnivora,Mustelidae,0.0,2700.0,10.0,2.998236331569665,Carnivore,1,1,0,0,1,0,0,1,1,1
Eryops,Amphibia,Temnospondyli,Eryopidae,1.0,224.02800000000002,,199.5808801516815,Carnivore,0,0,0,0,1,0,0,0,0,0
Escolar,Actinopterygii,Scombriformes,Gempylidae,0.0,213.36,11.0,,Carnivore,0,0,0,0,0,0,0,0,1,0
Eskimo Dog,Mammalia,Carnivora,Canidae,,,14.0,76.0,Omnivore,0,0,0,0,1,0,0,0,0,0
Eskipoo,Mammalia,Carnivora,Canidae,,,,,Omnivore,0,0,0,0,1,0,0,0,0,0
Estrela Mountain Dog,Mammalia,Carnivora,Canidae,,,16.0,76.0,Omnivore,0,1,0,0,0,0,0,0,0,0
Euoplocephalus,,Ornithischia,Ankylosauridae,1.0,640.08,,2250.0,Herbivore,0,0,0,0,1,0,0,0,0,0
Eurasian Beaver,Mammalia,Rodentia,Castoridae,0.0,106.68,,22.226052562346347,Herbivore,1,1,0,0,0,0,0,0,0,0
Eurasian Bullfinch,Aves,Passeriformes,Fringillidae,0.0,16.51,3.5,0.023955321199750523,Herbivore,1,1,1,0,1,0,0,0,0,1
Eurasian Collared Dove,Aves,Columbiformes,Columbidae,0.0,33.02,17.8,0.17916919922707772,Herbivore,1,1,0,0,1,1,0,0,0,1
Eurasian Jay,Aves,Passeriformes,Corvidae,0.0,,,3.1040564373897706,Omnivore,1,1,1,0,0,0,0,0,0,1
Eurasian Lynx,Mammalia,Carnivora,Felidae,0.0,99.06,,27.27272727272727,Carnivore,1,1,0,0,0,0,0,0,0,1
Eurasian Nuthatch,Aves,Passeriformes,Sittidae,0.0,14.732,7.0,0.02267959403526677,Omnivore,1,1,0,0,0,0,0,0,0,1
Eurasian Sparrowhawk,Aves,Accipitriformes,Accipitridae,0.0,34.29,5.0,0.22537846572546352,Carnivore,1,1,1,0,0,0,0,0,0,0
Eurasian Wolf,Mammalia,Carnivora,Canidae,,132.08,7.0,59.090909090909086,Carnivore,1,1,0,0,0,0,0,0,0,1
Eurasier,Mammalia,Carnivora,Canidae,,,12.0,,Omnivore,0,1,0,0,1,0,0,0,0,0
European Bee-Eater,Aves,Coraciiformes,Meropidae,0.0,27.94,,0.06378635822418778,Omnivore,1,1,1,0,0,0,0,0,0,1
European Corn Borer,Insecta,Lepidoptera,Crambidae,,2.7940000000000005,0.21232876712328766,,Herbivore,0,1,0,0,1,0,0,0,0,0
European Goldfinch,Aves,Passeriformes,Fringillidae ,0.0,12.446000000000002,2.4,0.015592220899245904,Herbivore,1,1,1,0,0,0,0,0,0,1
European Polecat,Mammalia,Carnivora,Mustelidae,0.0,30.48,14.0,,Carnivore,0,1,1,0,0,0,0,0,0,1
European Robin,Aves,Passeriformes,Muscicapidae,0.0,13.208,1.0833333333333333,0.01899416000453592,Omnivore,1,1,1,0,0,0,0,0,0,1
European Starling,Aves,Passeriformes,Tyrannidae,0.0,21.59,2.5,0.07796110449622952,Omnivore,0,0,1,0,1,1,0,1,1,0
European Wildcat,Mammalia,Carnivora,Felidae,0.0,,14.0,8.164672369841515,Omnivore,0,1,0,0,0,0,0,0,0,0
Eurypterus,,Eurypterida,Eurypteridae,1.0,1800.0,,,Carnivore,0,0,0,0,1,0,0,0,0,0
Evening Bat,Mammalia,Chiroptera,Vespertilionidae,0.0,376.0,,0.00992232239042921,Carnivore,0,0,0,0,1,0,0,0,0,0
Evening Grosbeak,Aves,Passeriformes,Fringillidae,1.0,17.017999999999997,16.0,0.06378635822418778,Omnivore,0,0,0,0,1,0,0,0,0,0
Executioner Wasp ,Insecta,Hymenoptera,Vespidae,0.0,300.0,1.0,,Omnivore,0,0,0,1,1,0,0,0,0,0
Eyelash Viper,Reptilia,Squamata,Viperidae,0.0,68.58,10.0,,Carnivore,0,0,0,1,1,1,0,0,0,0
Fairy-Wren,Aves,Passeriformes,Maluridae,0.0,13.97,12.5,0.00850484776322504,Insectivore,0,0,0,0,0,0,0,1,1,0
Falcon,Aves,Falconiformes,Falconidae,0.0,,15.0,0.95,Carnivore,1,1,1,1,1,1,0,1,1,1
Fallow deer,Mammalia,Artiodactyla,Cervidae,0.0,152.5524,22.5,54.88474204171241,Herbivore,1,1,1,1,1,0,0,1,1,0
False Cobra,Reptilia,Squamata,Lamprophiidae,0.0,,,,Carnivore,1,0,1,0,0,0,0,0,0,0
False coral snake,Reptilia,Squamata,Aniliidae,0.0,71.12,8.5,,Carnivore,0,0,0,1,0,0,0,0,0,0
False Killer Whale,Mammalia,Artiodactyla,Delphinidae,0.0,609.6,60.0,0.9071858188712795,Carnivore,0,0,0,0,0,0,0,0,1,0
False Water Cobra,Reptilia,Squamata,Colubridae,0.0,213.36,16.0,,Omnivore,0,0,0,1,0,0,0,0,0,0
False Widow Spider,Arachnida, Araneae,Theridiidae,0.0,21.500000000000004,1.0,0.08504847763225037,Carnivore,1,1,1,1,1,1,0,1,1,1
Fangtooth,Actinopterygii,Beryciformes,Anoplogastridae,0.0,162.5,,34.090909090909086,Carnivore,0,0,0,0,0,0,0,0,1,0
Feist,Mammalia,Carnivora,Canidae,,,16.5,13.636363636363635,Omnivore,0,0,0,0,1,0,0,0,0,0
Fennec Fox,Mammalia,Carnivora,Canidae,0.0,3250.0,12.0,1.25,Omnivore,1,0,1,0,0,0,0,0,0,0
Fer-de-lance Snake,Reptilia,Squamata,Viperidae,,150.0,13.75,5.909090909090908,Carnivore,0,1,0,1,0,1,0,0,0,0
Ferret,Mammalia,Carnivora,Mustelidae,0.0,4500.0,8.5,1.35,Carnivore,0,1,0,0,0,0,0,0,0,0
Ferruginous Hawk,Aves,Accipitriformes,Accipitridae,0.0,62.230000000000004,,1.477272727272727,Carnivore,0,0,0,0,1,1,0,0,0,0
Fiddler Crab,Malacostraca,Decapoda,Ocypodidae,0.0,2.0,1.0,1800.0,Omnivore,1,1,1,1,1,1,0,1,1,0
Field Spaniel,Mammalia,Carnivora,Canidae,,,14.0,36.5,Omnivore,0,1,0,0,0,0,0,0,0,0
Fierce Snake,Reptilia,Squamata,Elapidae,0.0,152.4,12.5,,Carnivore,0,0,0,0,0,0,0,1,1,0
Figeater Beetle,Insecta,Coleoptera,Scarabaeidae,,222.5,0.09615384615384616,,Herbivore,0,0,0,0,1,0,0,0,0,0
Fila Brasileiro,Mammalia,Carnivora,Canidae,,,10.5,,Omnivore,0,0,0,1,0,0,0,0,0,0
Fin Whale,Mammalia,Cetacea,Balaenopteridae,1.0,1525.0,55.0,400.5,Carnivore,0,0,0,0,0,0,0,0,1,0
Finnish Lapphund,Mammalia,Carnivora,Canidae,,27.94,13.5,19.545454545454543,Omnivore,0,1,0,0,0,0,0,0,0,0
Finnish Spitz,Mammalia,Carnivora,Canidae,,,15.0,14.999999999999998,Omnivore,0,1,0,0,0,0,0,0,0,0
Fire Ball Python,Reptilia,Squamata,Pythonidae,0.0,121.92,25.0,,Carnivore,0,0,1,0,0,0,0,0,0,0
Fire Eel,Actinopterygii,Synbranchiformes,Mastacembelidae,0.0,76.2,15.0,,Omnivore,1,0,0,0,0,0,0,0,0,0
Fire salamander,Amphibia,Urodela,Salamandridae,0.0,2250.0,,9.111363636363636,Carnivore,0,1,0,0,0,0,0,0,0,0
